CODE,Numero,Nom,Prénom,Date de naissance,Classe,Note
AAD003,2016023LD,NDIAYE,mbaye,12/9/2000,5ieme A,"PC[15;11:9]# Math[12;14,5;11:13]   #Francais[4;11:13]  #Anglais[13,8:15]  #SVT[12;9;16;11:12]  #HG[11:13]"
AAD003,286325HG,GAYE,Sidi,13-4-2012,3iemeA,"Math[10;14,5:16] #PC[11:9]  #Francais[4;11:13]  #SVT[12;9;16;11:12] #HG[10:13]  #Anglais[13,5:15]"
AAD003,2014079LH,Diallo,awa,16.01.2004,5emeA,"SVT[15;11;11:12] #HG[6;14:16]  #Math[10;12,19;11:16]  #Francais[18;11:15] #Anglais[8,15:15]  #PC[7;11;09:9]"
AAD003,2016023LD,Ndiaye,Sidy,08-08-2008,4emeA,"PC[15;11:9]# Math[12;14,5;11:13]   #Francais[4;11:13]  #Anglais[13,8:15]  #SVT[12;9;16;11:12]  #HG[11:13]"
AAD003,286325HG,FAYE,Fallou,01.01.2002,3emeA,"Math[10;14,5:16] #PC[11:9]  #Francais[4;11:13]  #SVT[12;9;16;11:12] #HG[10:13]  #Anglais[13,5:15]"
AAD003,2014079LH,Diop,Seyni,7/11/2007,4emeA,"SVT[15;11;11:12] #HG[6;14:16]  #Math[10;12,19;11:16]  #Francais[18;11:15] #Anglais[8,15:15]  #PC[7;11;09:9]"
AAD003,2016023LD,Ba,Aliou,20.12.2002,4emeB,"PC[15;11:9]# Math[12;14,5;11:13]   #Francais[4;11:13]  #Anglais[13,8:15]  #SVT[12;9;16;11:12]  #HG[11:13]"
AAD003,286325HG,Ndoye,awa,07.07.2003,5emeA,"Math[10;14,5:16] #PC[11:9]  #Francais[4;11:13]  #SVT[12;9;16;11:12] #HG[10:13]  #Anglais[13,5:15]"
AAD003,2014079LH,Baal,Sidy,16.01.2004,4emeA,"SVT[15;11;11:12] #HG[6;14:16]  #Math[10;12,19;11:16]  #Francais[18;11:15] #Anglais[8,15:15]  #PC[7;11;09:9]"
AAD004,2016023LD,Diallo,Fallou,08-08-2008,3emeA,"PC[15;11:9]# Math[12;14,5;11:13]   #Francais[4;11:13]  #Anglais[13,8:15]  #SVT[12;9;16;11:12]  #HG[11:13]"
AAD004,286325HG,Ndiaye,Seyni,01.01.2002,4emeA,"Math[10;14,5:16] #PC[11:9]  #Francais[4;11:13]  #SVT[12;9;16;11:12] #HG[10:13]  #Anglais[13,5:15]"
AAD004,2014079LH,FAYE,Aliou,7/11/2007,4emeB,"SVT[15;11;11:12] #HG[6;14:16]  #Math[10;12,19;11:16]  #Francais[18;11:15] #Anglais[8,15:15]  #PC[7;11;09:9]"
AAD004,2016023LD,Diop,awa,20.12.2002,5emeA,"PC[15;11:9]# Math[12;14,5;11:13]   #Francais[4;11:13]  #Anglais[13,8:15]  #SVT[12;9;16;11:12]  #HG[11:13]"
AAD004,JD7LOMP,SOW,Mariama,12/18/2017,4eme,Math[0403:05] #Francais[1516:14] #Anglais[1516:17] #PC[0403:07] #SVT[1209:10] #HG[1615:17]
AAD004,LIHGT1U,Diallo,Nourou,02/01/2018,6eme,Math[1415:10] #Francais[1213:13] #Anglais[1516:17] #PC[1413:07] #SVT[15
AAD004,2014079LH,SOW,awa,12/18/2017,4eme,"SVT[15;11;11:12] #HG[6;14:16]  #Math[10;12,19;11:16]  #Francais[18;11:15] #Anglais[8,15:15]  #PC[7;11;09:9]"
AAD004,2016023LD,Diallo,Sidy,02/01/2018,6eme,"PC[15;11:9]# Math[12;14,5;11:13]   #Francais[4;11:13]  #Anglais[13,8:15]  #SVT[12;9;16;11:12]  #HG[11:13]"
AAD004,286325HG,SOW,Fallou,12/18/2017,4eme,"Math[10;14,5:16] #PC[11:9]  #Francais[4;11:13]  #SVT[12;9;16;11:12] #HG[10:13]  #Anglais[13,5:15]"
AAD004,2014079LH,Diallo,awa,02/01/2018,6eme,"SVT[15;11;11:12] #HG[6;14:16]  #Math[10;12,19;11:16]  #Francais[18;11:15] #Anglais[8,15:15]  #PC[7;11;09:9]"
AAD005,40DKG6T,Diallo,awa,21/10/2004,6emA,"PC[17;20;18:15]#Math[15;16,15;13:17]#Francais[11:13]#Anglais[14:13]#SVT[13;11;15;11:12]#HG[15:13]"
AAD005,44DSW78,Ndiaye,Sidy,19-01-05,4emB,"PC[17;20;18:15]#Math[15;16,15;13:17]#Francais[11:13]#Anglais[14:13]#SVT[13;11;15;11:12]#HG[15:13]"
AAD005,20LH7BG,FAYE,Fallou,19.4.2002,4emA,"PC[8;13;11:12]#Math[10;10,10;11:10]#Francais[12:13]#Anglais[10:11]#SVT[12;15;10;9:10]#HG[8:10]"
AAD005,8D805GT,Diop,Seyni,29-07.-05,3emA,"Math[10;11:15] #Francais[7;12;8:13] #Anglais[13,5;9:15] #PC[11:9]  #SVT[12;9;16;11:12]  #HG[10:13]"
AAD005,9HBW36T,Ba,Aliou,01-01-2006,5emA,"Math[15;16:15] #Francais[10;11;10:9] #Anglais[14,12;13:15] #PC[15:15]  #SVT[12;10;17;13:12]  #HG[17:14]"
AAD005,W8NNJ6T,Ndoye,Ousmane,9/4/2004,5emB,"Math[20;18:18] #Francais[12;14;14:13] #Anglais[15,16;16:14] #PC[17:18]  #SVT[14;15;15;16:14]  #HG[13:16]"
AAD005,23YLTXT,Baal,Thierno,22-01-2006,3emA,"SVT[15;11;11:12] #HG[6;14:16]  #Math[10;12,19;11:16]  #Francais[18;11:15] #Anglais[8,15:15]  #PC[7;11;09:9]"
AAD005,48DKG8T,Baal,Boubou,26-06-03,4emB,"PC[15;11:9]# Math[12;14,5;11:13]   #Francais[4;11:13]  #Anglais[13,8:15]  #SVT[12;9;16;11:12]  #HG[11:13]"
AAD005,Q7XVP6G,Seck,Bineta,12.2.2005,3emA,"Math[10;14,5:16] #PC[11:9]  #Francais[4;11:13]  #SVT[12;9;16;11:12] #HG[10:13]  #Anglais[13,5:15]"
AAD005,M67KQV7,Correa,Albert,26/12/2003,6emA,"SVT[15;11;11:12] #HG[6;14:16]  #Math[10;12,19;11:16]  #Francais[18;11:15] #Anglais[8,15:15]  #PC[7;11;09:9]"
AAD007,H18AC4W,BA,Mouhamed,14-janv.-05,6emA,"Math[10;11:15] #Francais[7;12;8:13] #Anglais[13,5;9:15] #PC[11:9]  #SVT[12;9;16;11:12]  #HG[10:13]"
AAD007,EPJHQQ5,DIAW,Fallou,12/08/2006,3eme B,"PC[11:9]#   Math[12;14,5;11:13]   #Francais[14;12:13]  #Anglais[12,8:15]  #SVT[10;9;16;13:12]  #HG[10:16]"
